timestamp,x,y,z
605912470,150.885,-178.255,-59.78
605912474,151.375,-174.09,-56.105
605912479,150.22,-170.765,-53.06
605912483,147.7,-167.37,-49.35
605912488,145.46,-163.8,-45.78
605912493,143.115,-160.05501,-42.385
605912497,138.495,-157.745,-38.78
605912502,131.005,-156.55501,-35.7
605912507,122.255,-153.86,-33.25
605912511,113.295,-150.85,-32.34
605912516,103.88,-148.365,-31.185
605912520,96.705,-145.495,-29.89
605912525,93.8,-140.455,-26.565
605912530,95.655,-132.825,-23.485
605912534,98.91,-122.955,-21.595
605912539,100.590004,-111.72,-18.97
605912544,101.675,-101.955,-15.155
605912548,103.915,-94.22,-11.2
605912553,107.66,-88.13,-6.825
605912557,112.63,-83.545,-1.505
605912562,117.04,-79.38,3.115
605912567,121.415,-77.035,6.545
605912571,126.245,-76.44,9.52
605912576,130.095,-75.88,11.69
605912582,133.28,-75.425,14.245
605912586,136.36,-74.97,17.465
605912591,136.99,-72.695,20.265
605912596,135.8,-71.96,24.22
605912601,133.245,-73.36,23.555
605912605,130.62,-74.165,24.15
605912610,126.175,-73.605,26.74
605912615,120.54,-72.765,29.435
605912620,115.15,-71.82,31.29
605912624,110.775,-69.895,31.92
605912629,108.115,-66.5,32.06
605912634,107.135,-62.93,31.255001
605912639,106.75,-59.78,29.4
605912643,110.53,-57.505,27.09
605912648,115.605,-59.395,19.18
605912653,118.825,-56.63,17.5
605912657,119.035,-58.555,28.0
605912661,129.99,-81.06,37.45
605912666,133.84,-80.815,36.82
605912670,131.985,-33.53,61.39
605912675,138.11,-47.495,57.12
605912680,138.39,-64.225,48.965
605912684,138.425,-66.185,56.595
605912689,135.94,-56.455,54.775
605912695,128.24,-51.170002,53.585
605912699,124.565,-52.43,55.195
605912704,122.08,-51.415,56.525
605912709,117.075,-48.44,57.295002
605912714,112.315,-44.275,58.170002
605912718,108.08,-39.025,60.165
605912723,103.075,-35.945,61.495
605912728,98.035,-35.63,62.23
605912732,94.395,-35.56,63.105
605912736,92.33,-33.355,64.505
605912741,88.48,-32.06,65.66
605912745,84.0,-31.22,67.235
605912750,87.395,-33.18,70.35
605912755,89.985,-33.670002,71.505
605912759,87.745,-30.275,69.02
605912764,87.745,-25.725,65.555
605912769,93.345,-24.01,62.09
605912773,103.705,-27.72,58.065
605912778,111.615,-33.355,54.565
605912782,117.775,-37.94,51.66
605912787,119.14,-39.9,49.245
605912792,117.39,-42.245,47.355
605912796,114.1,-44.135,45.885
605912801,110.635,-45.22,44.345
605912806,107.45,-44.695,41.72
605912810,106.89,-43.68,40.355
605912815,107.345,-41.09,38.885
605912819,109.375,-36.785,34.65
605912824,110.915,-32.55,27.23
605912829,112.105,-29.015,18.515
605912833,112.385,-25.305,9.835
605912838,112.56,-21.7,2.8
605912844,112.315,-20.65,-2.1
605912848,110.74,-18.41,-6.895
605912853,103.985,-13.440001,-9.765
605912858,96.81,-10.99,-11.935
605912863,94.08,-10.535,-13.09
605912867,88.55,-6.79,-14.175
605912872,82.425,-2.73,-16.205
605912877,79.695,-2.975,-18.27
605912881,78.295,-5.04,-20.65
605912885,76.37,-5.775,-22.960001
605912890,73.64,-7.105,-24.29
605912894,71.26,-8.54,-23.38
605912899,69.16,-10.045,-20.79
605912904,67.655,-11.55,-20.335001
605912908,65.975,-11.795,-19.845
605912913,67.48,-14.875,-18.305
605912918,67.41,-18.445,-16.73
605912922,65.52,-22.015,-14.77
605912927,63.315,-26.39,-12.32
605912931,61.775,-32.48,-9.59
605912936,60.235,-39.06,-6.51
605912941,57.82,-45.465,-3.465
605912945,56.35,-51.66,0.42000002
605912950,56.49,-58.03,2.765
605912956,57.505,-63.805,1.505
605912960,59.185,-67.97,-2.59
605912965,61.005,-71.575,-5.7400002
605912970,61.915,-75.145,-7.4900002
605912975,62.3,-78.855,-8.785
605912979,62.3,-81.9,-11.305
605912984,60.97,-84.035,-14.875
605912989,60.2,-85.47,-17.885
605912994,58.45,-86.03,-20.545
605912998,56.455,-84.840004,-23.275
605913003,54.145,-81.97,-26.355
605913008,51.87,-78.365,-28.875
605913013,49.420002,-73.99,-31.15
605913017,46.06,-69.265,-33.215
605913022,42.245,-66.255,-35.28
605913027,38.605,-63.875,-36.68
605913031,36.54,-60.83,-37.555
605913035,36.19,-56.945,-38.605
605913040,36.75,-53.095,-38.920002
605913044,37.835,-49.175,-37.835
605913049,39.55,-45.605,-35.805
605913054,41.37,-42.665,-33.04
605913058,43.645,-39.935,-29.4
605913063,45.29,-38.885,-26.355
605913068,46.305,-38.99,-23.345
605913072,47.11,-39.06,-20.02
605913077,47.670002,-38.185,-17.43
605913081,47.74,-36.61,-15.4
605913086,49.595,-35.875,-13.51
605913091,52.885,-37.94,-12.915
605913095,54.495,-40.53,-11.4800005
605913100,53.935,-43.365,-10.43
605913106,53.305,-46.935,-10.535
605913110,52.465,-50.365,-12.04
605913115,52.255,-53.760002,-14.42
605913120,51.170002,-55.37,-16.415
605913125,49.21,-55.3,-18.235
605913129,47.005,-55.3,-19.985
605913134,45.01,-55.37,-21.035
605913139,43.75,-54.215,-21.105
605913143,42.875,-51.835,-20.265
605913147,41.965,-49.0,-19.74
605913152,41.37,-46.48,-19.81
605913156,41.16,-44.31,-20.65
605913161,41.545002,-42.105,-20.895
605913166,41.545002,-40.565,-21.98
605913170,41.125,-42.63,-25.655
605913175,40.6,-48.65,-31.08
605913180,40.32,-55.86,-35.7
605913184,39.69,-62.545002,-38.71
605913189,38.815,-68.705,-40.670002
605913193,37.87,-72.8,-41.51
605913198,36.68,-74.55,-41.125
605913203,35.63,-73.92,-39.445
605913207,34.86,-71.295,-36.925
605913212,34.72,-66.57,-34.02
605913218,34.65,-60.935,-31.85
605913222,34.475,-55.615,-30.24
605913227,34.055,-50.785,-29.19
605913232,34.125,-45.85,-28.245
605913237,34.79,-41.09,-27.65
605913241,35.665,-36.855,-26.6
605913246,35.98,-33.705,-25.795
605913251,36.61,-31.22,-25.095
605913255,37.31,-29.05,-24.85
605913259,36.995,-27.615,-24.955
605913264,35.63,-27.16,-25.41
605913268,33.355,-27.755001,-26.215
605913273,30.135,-28.875,-27.37
605913278,26.39,-29.12,-28.595
605913282,22.19,-28.7,-29.89
605913287,17.465,-28.07,-31.22
605913292,12.46,-26.95,-32.725
605913296,7.28,-25.515,-33.985
605913301,2.485,-23.765,-34.79
605913305,-1.785,-21.805,-35.56
605913310,-4.76,-18.62,-35.875
605913315,-5.53,-14.21,-35.385
605913319,-4.27,-9.1,-34.23
605913324,-1.12,-3.99,-32.97
605913330,3.71,0.665,-31.85
605913334,9.8,3.99,-30.625
605913339,16.94,5.95,-29.365
605913344,24.15,6.405,-28.14
605913349,31.22,5.32,-27.195
605913353,37.94,4.165,-25.725
605913358,44.24,2.905,-23.695
605913363,49.21,1.61,-20.685
605913368,52.57,-0.105000004,-16.87
605913372,54.005,-3.185,-12.95
605913377,53.935,-6.545,-8.61
605913382,52.57,-9.835,-4.2
605913387,50.575,-13.615,0.0
605913391,48.65,-17.5,4.13
605913396,46.725,-20.755,7.77
605913401,44.31,-24.08,10.815
605913405,40.95,-27.055,13.265
605913409,37.205,-29.47,15.575
605913414,33.74,-31.15,17.29
605913418,30.695,-31.36,18.55
605913423,28.0,-29.61,19.005
605913428,25.445,-28.035,18.655
605913432,22.715,-26.460001,17.535
605913437,19.425,-24.745,16.205
605913442,15.435,-22.960001,14.35
605913446,10.465,-21.875,12.18
605913451,4.515,-21.595,9.275
605913455,-1.54,-22.19,5.565
605913460,-6.965,-22.61,2.03
605913465,-11.13,-22.05,-1.26
605913469,-13.51,-19.95,-3.815
605913474,-14.1050005,-17.29,-5.915
605913480,-13.09,-14.49,-7.455
605913484,-11.4800005,-11.55,-8.225
605913489,-9.625,-8.05,-8.645
605913494,-7.7,-3.325,-7.665
605913499,-5.7400002,1.47,-5.6
605913503,-3.7450001,5.11,-3.29
605913508,-1.855,7.525,-1.05
605913513,-0.14,8.715,1.54
605913517,1.365,9.065,3.43
605913521,2.52,8.05,4.655
605913526,2.94,5.635,4.76
605913530,2.905,2.345,4.55
605913535,2.17,-1.19,4.375
605913540,0.595,-4.585,4.305
605913544,-1.365,-7.98,4.235
605913549,-3.045,-10.36,4.41
605913554,-4.9,-11.795,5.005
605913558,-6.475,-12.285,5.635
605913563,-7.4900002,-11.97,6.405
605913567,-7.805,-9.975,7.35
605913572,-7.7,-7.525,8.015
605913577,-7.385,-5.705,7.945
605913581,-7.245,-4.55,7.28
605913586,-6.755,-3.15,6.79
605913591,-6.475,-1.575,6.93
605913595,-6.335,0.28,7.28
605913600,-6.23,1.75,7.4900002
605913604,-5.7400002,3.395,7.63
605913609,-5.32,4.655,7.665
605913614,-4.97,5.775,7.455
605913618,-4.13,6.58,6.6150002
605913623,-2.8,6.79,5.46
605913629,-1.26,6.7200003,4.27
605913633,0.385,6.335,3.045
605913638,2.135,6.335,1.96
605913643,3.885,6.37,1.05
605913648,5.355,6.93,0.315
605913652,6.755,8.435,0.245
605913657,7.7,10.255,0.175
605913662,7.4900002,11.41,-0.105000004
605913666,6.055,11.585,-0.7
605913670,4.34,11.445,-1.225
605913675,2.975,11.55,-1.155
605913679,1.995,11.235,-1.19
605913684,1.085,10.22,-2.135
605913689,0.35,8.435,-3.675
605913693,-0.21000001,6.51,-5.005
605913698,-0.77,5.11,-5.7400002
605913704,-1.33,3.7450001,-6.335
